layer_name;method;run0;run1;run2;run3;run4;mean;median
model.model.layers.18.self_attn.o_proj;Ours;0.11673600226640701;0.11776000261306763;0.11878400295972824;0.11788800358772278;0.11776000261306763;0.11778559535741806;0.11776000261306763
model.model.layers.18.mlp.gate_proj;Sputnik;0.4331839978694916;0.4333440065383911;0.43331199884414673;0.43212801218032837;0.4331519901752472;0.43302398920059204;0.4331839978694916
model.model.layers.18.mlp.gate_proj;Ours;0.27955201268196106;0.2805759906768799;0.277536004781723;0.27955201268196106;0.27955201268196106;0.2793535888195038;0.27955201268196106
model.model.layers.18.mlp.up_proj;Sputnik;0.40959998965263367;0.4105280041694641;0.40959998965263367;0.4076800048351288;0.40857601165771484;0.40919679403305054;0.40959998965263367
model.model.layers.18.mlp.up_proj;Ours;0.2500480115413666;0.2539519965648651;0.2519040107727051;0.2519040107727051;0.2529279887676239;0.25214719772338867;0.2519040107727051
model.model.layers.18.mlp.down_proj;Sputnik;0.3901439905166626;0.392192006111145;0.3901439905166626;0.3903680145740509;0.3911679983139038;0.39080318808555603;0.3903680145740509
model.model.layers.18.mlp.down_proj;Ours;0.24473600089550018;0.24383999407291412;0.2457599937915802;0.24352000653743744;0.2457599937915802;0.24472320079803467;0.24473600089550018
model.model.layers.19.self_attn.q_proj;Sputnik;0.130048006772995;0.13209599256515503;0.130048006772995;0.130048006772995;0.130048006772995;0.13045760989189148;0.130048006772995
model.model.layers.19.self_attn.q_proj;Ours;0.1149120032787323;0.11459200084209442;0.11366400122642517;0.1157120019197464;0.11366400122642517;0.11450880765914917;0.11459200084209442
model.model.layers.19.self_attn.k_proj;Sputnik;0.12800000607967377;0.12697599828243256;0.12700800597667694;0.12697599828243256;0.12697599828243256;0.12718720734119415;0.12697599828243256
model.model.layers.19.self_attn.k_proj;Ours;0.11462400108575821;0.11683200299739838;0.11673600226640701;0.1157120019197464;0.1157120019197464;0.1159232035279274;0.1157120019197464
model.model.layers.19.self_attn.v_proj;Sputnik;0.14233599603176117;0.14233599603176117;0.14336000382900238;0.14236800372600555;0.14134399592876434;0.14234879612922668;0.14233599603176117
model.model.layers.19.self_attn.v_proj;Ours;0.10547199845314026;0.1085439994931221;0.10630399733781815;0.10543999820947647;0.10556799918413162;0.106265589594841;0.10556799918413162
model.model.layers.19.self_attn.o_proj;Sputnik;0.16383999586105347;0.16486400365829468;0.16486400365829468;0.16486400365829468;0.16486400365829468;0.16465920209884644;0.16486400365829468
model.model.layers.19.self_attn.o_proj;Ours;0.1228799968957901;0.12185599654912949;0.12297599762678146;0.12492799758911133;0.12185599654912949;0.12289919704198837;0.1228799968957901
model.model.layers.19.mlp.gate_proj;Sputnik;0.4126720130443573;0.4116480052471161;0.4116480052471161;0.4106239974498749;0.4116480052471161;0.4116479754447937;0.4116480052471161
model.model.layers.19.mlp.gate_proj;Ours;0.2561280131340027;0.25600001215934753;0.34195199608802795;0.2539519965648651;0.25702399015426636;0.2730112075805664;0.2561280131340027
model.model.layers.19.mlp.up_proj;Sputnik;0.3962880074977875;0.3973119854927063;0.39740800857543945;0.39817601442337036;0.3973119854927063;0.397299200296402;0.3973119854927063
model.model.layers.19.mlp.up_proj;Ours;0.24985599517822266;0.24780799448490143;0.419840008020401;0.24883200228214264;0.2467840015888214;0.2826240062713623;0.24883200228214264
