layer_name;empty_rows_perc;empty_cols_perc;max_empty_perc;sparsity_perc;rows;cols
model.model.layers.13.self_attn.o_proj;1.953125;33.69140625;33.69140625;0.5999982357025146;4096;4096
model.model.layers.13.mlp.gate_proj;41.14280700683594;0.0;41.14280700683594;0.5999986515488736;11008;4096
model.model.layers.13.mlp.up_proj;31.667879104614258;0.0;31.667879104614258;0.5999986515488736;11008;4096
model.model.layers.13.mlp.down_proj;0.0;37.926963806152344;37.926963806152344;0.5999986515488736;4096;11008
model.model.layers.14.self_attn.q_proj;27.63671875;0.048828125;27.63671875;0.5999982357025146;4096;4096
model.model.layers.14.self_attn.k_proj;28.8818359375;0.0244140625;28.8818359375;0.5999982357025146;4096;4096
model.model.layers.14.self_attn.v_proj;0.1220703125;30.908203125;30.908203125;0.5999982357025146;4096;4096
model.model.layers.14.self_attn.o_proj;3.5888671875;31.4453125;31.4453125;0.5999982357025146;4096;4096
model.model.layers.14.mlp.gate_proj;41.7514533996582;0.0;41.7514533996582;0.5999986515488736;11008;4096
model.model.layers.14.mlp.up_proj;36.682411193847656;0.0;36.682411193847656;0.5999986515488736;11008;4096
model.model.layers.14.mlp.down_proj;0.0;39.616641998291016;39.616641998291016;0.5999986515488736;4096;11008
model.model.layers.15.self_attn.q_proj;30.4443359375;0.0244140625;30.4443359375;0.5999982357025146;4096;4096
model.model.layers.15.self_attn.k_proj;29.19921875;0.0;29.19921875;0.5999982357025146;4096;4096
model.model.layers.15.self_attn.v_proj;0.439453125;17.96875;17.96875;0.5999982357025146;4096;4096
model.model.layers.15.self_attn.o_proj;0.537109375;37.5732421875;37.5732421875;0.5999982357025146;4096;4096
model.model.layers.15.mlp.gate_proj;46.26634979248047;0.0;46.26634979248047;0.5999986515488736;11008;4096
model.model.layers.15.mlp.up_proj;44.84011459350586;0.0;44.84011459350586;0.5999986515488736;11008;4096
model.model.layers.15.mlp.down_proj;0.0;39.42586898803711;39.42586898803711;0.5999986515488736;4096;11008
model.model.layers.16.self_attn.q_proj;32.1044921875;0.0244140625;32.1044921875;0.5999982357025146;4096;4096
model.model.layers.16.self_attn.k_proj;30.3466796875;0.0;30.3466796875;0.5999982357025146;4096;4096
model.model.layers.16.self_attn.v_proj;0.3662109375;20.654296875;20.654296875;0.5999982357025146;4096;4096
model.model.layers.16.self_attn.o_proj;1.0498046875;25.5126953125;25.5126953125;0.5999982357025146;4096;4096
model.model.layers.16.mlp.gate_proj;52.489097595214844;0.0;52.489097595214844;0.5999986515488736;11008;4096
model.model.layers.16.mlp.up_proj;56.44985580444336;0.0;56.44985580444336;0.5999986515488736;11008;4096
model.model.layers.16.mlp.down_proj;0.0;44.31322479248047;44.31322479248047;0.5999986515488736;4096;11008
model.model.layers.17.self_attn.q_proj;42.9443359375;0.0244140625;42.9443359375;0.5999982357025146;4096;4096
model.model.layers.17.self_attn.k_proj;42.8466796875;0.0244140625;42.8466796875;0.5999982357025146;4096;4096
model.model.layers.17.self_attn.v_proj;0.5615234375;13.6962890625;13.6962890625;0.5999982357025146;4096;4096
model.model.layers.17.self_attn.o_proj;0.439453125;33.59375;33.59375;0.5999982357025146;4096;4096
model.model.layers.17.mlp.gate_proj;60.50144958496094;0.0;60.50144958496094;0.5999986515488736;11008;4096
model.model.layers.17.mlp.up_proj;64.1715087890625;0.0;64.1715087890625;0.5999986515488736;11008;4096
model.model.layers.17.mlp.down_proj;0.0;40.50690460205078;40.50690460205078;0.5999986515488736;4096;11008
model.model.layers.18.self_attn.q_proj;46.5087890625;0.0244140625;46.5087890625;0.5999982357025146;4096;4096
model.model.layers.18.self_attn.k_proj;42.08984375;0.0244140625;42.08984375;0.5999982357025146;4096;4096
model.model.layers.18.self_attn.v_proj;0.732421875;7.1533203125;7.1533203125;0.5999982357025146;4096;4096
model.model.layers.18.self_attn.o_proj;0.1708984375;44.4091796875;44.4091796875;0.5999982357025146;4096;4096
model.model.layers.18.mlp.gate_proj;62.672603607177734;0.0;62.672603607177734;0.5999986515488736;11008;4096
model.model.layers.18.mlp.up_proj;70.60319519042969;0.0;70.60319519042969;0.5999986515488736;11008;4096
model.model.layers.18.mlp.down_proj;0.0;43.586483001708984;43.586483001708984;0.5999986515488736;4096;11008
model.model.layers.19.self_attn.q_proj;36.9384765625;0.0244140625;36.9384765625;0.5999982357025146;4096;4096
model.model.layers.19.self_attn.k_proj;39.2578125;0.0244140625;39.2578125;0.5999982357025146;4096;4096
model.model.layers.19.self_attn.v_proj;1.0498046875;4.2236328125;4.2236328125;0.5999982357025146;4096;4096
model.model.layers.19.self_attn.o_proj;0.6591796875;38.525390625;38.525390625;0.5999982357025146;4096;4096
model.model.layers.19.mlp.gate_proj;66.1246337890625;0.0;66.1246337890625;0.5999986515488736;11008;4096
model.model.layers.19.mlp.up_proj;75.1090087890625;0.0;75.1090087890625;0.5999986515488736;11008;4096
model.model.layers.19.mlp.down_proj;0.0;41.66969299316406;41.66969299316406;0.5999986515488736;4096;11008
model.model.layers.20.self_attn.q_proj;40.283203125;0.0244140625;40.283203125;0.5999982357025146;4096;4096
model.model.layers.20.self_attn.k_proj;35.205078125;0.0244140625;35.205078125;0.5999982357025146;4096;4096
model.model.layers.20.self_attn.v_proj;0.634765625;13.525390625;13.525390625;0.5999982357025146;4096;4096
model.model.layers.20.self_attn.o_proj;0.68359375;38.6474609375;38.6474609375;0.5999982357025146;4096;4096
model.model.layers.20.mlp.gate_proj;67.82339477539062;0.0;67.82339477539062;0.5999986515488736;11008;4096
model.model.layers.20.mlp.up_proj;72.8561019897461;0.0;72.8561019897461;0.5999986515488736;11008;4096
model.model.layers.20.mlp.down_proj;0.0;40.05268859863281;40.05268859863281;0.5999986515488736;4096;11008
model.model.layers.21.self_attn.q_proj;42.96875;0.0244140625;42.96875;0.5999982357025146;4096;4096
model.model.layers.21.self_attn.k_proj;41.2109375;0.0244140625;41.2109375;0.5999982357025146;4096;4096
